========== KATEGORİ: Actor/Body ==========
UI İsmi: Toe Length  |  Kod ID: cc embed morphs/embed_foot5  |  Range: [1.0, -0.5]
UI İsmi: Toe Scale Height  |  Kod ID: 2018-10-11-11-43-51_toe depth  |  Range: [1.0, 0.0]
UI İsmi: Toe Scale Width  |  Kod ID: cc embed morphs/embed_foot6  |  Range: [1.0, -0.5]
UI İsmi: Toe Tip Scale  |  Kod ID: 2018-10-11-14-43-51_toe tip size  |  Range: [1.0, 0.0]
UI İsmi: Alika_Body  |  Kod ID: 2022-05-06-11-12-33_alika_body  |  Range: [1.0, 0.0]
UI İsmi: Arm Down Upper L  |  Kod ID: zzz2018-09-17-20-49-13_shoulder_left  |  Range: [1.0, 0.0]
UI İsmi: Arm Down Upper R  |  Kod ID: zzz2018-09-17-20-49-59_shoulder_right  |  Range: [1.0, 0.0]
UI İsmi: Arm Pit Up L  |  Kod ID: 2020-05-15-15-16-02_arm pit up l  |  Range: [1.0, 0.0]
UI İsmi: Arm Pit Up R  |  Kod ID: 2020-05-15-15-16-24_arm pit up r  |  Range: [1.0, 0.0]
UI İsmi: Arm Pits Up  |  Kod ID: 2020-05-15-15-15-04_arm pits up  |  Range: [1.0, 0.0]
UI İsmi: Arm Up L  |  Kod ID: zzz2018-09-17-20-52-42_underarm_left  |  Range: [1.0, 0.0]
UI İsmi: Arm Up R  |  Kod ID: zzz2018-09-17-20-53-18_underarm_right  |  Range: [1.0, 0.0]
UI İsmi: Arms Down Upper  |  Kod ID: zzz2018-09-17-20-49-10_shoulder  |  Range: [1.0, 0.0]
UI İsmi: Arms Up  |  Kod ID: zzz2018-09-17-20-52-13_underarm  |  Range: [1.0, 0.0]
UI İsmi: Buttock Seated L  |  Kod ID: zzz2018-09-17-20-32-01_bust02_left  |  Range: [1.0, 0.0]
UI İsmi: Buttock Seated R  |  Kod ID: zzz2018-09-17-20-32-51_bust02_right  |  Range: [1.0, 0.0]
UI İsmi: Buttock Squatting L  |  Kod ID: zzz2018-09-17-20-28-40_bust01_left  |  Range: [1.0, 0.0]
UI İsmi: Buttock Squatting R  |  Kod ID: zzz2018-09-17-20-29-24_bust01_right  |  Range: [1.0, 0.0]
UI İsmi: Buttocks Seated  |  Kod ID: zzz2018-09-17-20-29-56_bust02  |  Range: [1.0, 0.0]
UI İsmi: Buttocks Squatting  |  Kod ID: zzz2018-09-17-20-28-00_bust01  |  Range: [1.0, 0.0]
UI İsmi: CC4 Camila_Body  |  Kod ID: 2022-05-04-11-07-45_cc4 camila_body  |  Range: [1.0, 0.0]
UI İsmi: CC4 Kevin_Body  |  Kod ID: 2022-05-09-17-57-44_cc4 kevin_body  |  Range: [1.0, 0.0]
UI İsmi: Eddy_Body  |  Kod ID: 2022-05-06-11-00-23_eddy_body  |  Range: [1.0, 0.0]
UI İsmi: Elbow Flexed L  |  Kod ID: zzz2018-09-17-20-34-12_elbows_left  |  Range: [1.0, 0.0]
UI İsmi: Elbow Flexed R  |  Kod ID: zzz2018-09-17-20-35-00_elbows_right  |  Range: [1.0, 0.0]
UI İsmi: Elbows Flexed  |  Kod ID: zzz2018-09-17-20-33-26_elbows  |  Range: [1.0, 0.0]
UI İsmi: Foreams Turned Out  |  Kod ID: zzz2018-09-17-20-36-06_forearm01  |  Range: [1.0, 0.0]
UI İsmi: Forearm Turned In L  |  Kod ID: zzz2018-09-17-20-40-21_forearm02_left  |  Range: [1.0, 0.0]
UI İsmi: Forearm Turned In R  |  Kod ID: zzz2018-09-17-20-40-59_forearm02_right  |  Range: [1.0, 0.0]
UI İsmi: Forearm Turned Out L  |  Kod ID: zzz2018-09-17-20-36-46_forearm01_left  |  Range: [1.0, 0.0]
UI İsmi: Forearm Turned Out R  |  Kod ID: zzz2018-09-17-20-37-21_forearm01_right  |  Range: [1.0, 0.0]
UI İsmi: Forearms Turned In  |  Kod ID: zzz2018-09-17-20-39-40_forearm02  |  Range: [1.0, 0.0]
UI İsmi: Heel Flexed L  |  Kod ID: zzz2018-09-17-20-42-30_heel_left  |  Range: [1.0, 0.0]
UI İsmi: Heel Flexed R  |  Kod ID: zzz2018-09-17-20-43-13_heel_right  |  Range: [1.0, 0.0]
UI İsmi: Heels Flexed  |  Kod ID: zzz2018-09-17-20-41-42_heel  |  Range: [1.0, 0.0]
UI İsmi: Knee Cap Flexed L  |  Kod ID: zzz2018-09-18-11-46-20_12_knee01_left  |  Range: [1.0, 0.0]
UI İsmi: Knee Cap Flexed R  |  Kod ID: zzz2018-09-18-11-47-45_12_knee01_right  |  Range: [1.0, 0.0]
UI İsmi: Knee Cap Width L  |  Kod ID: zzz2018-10-12-09-41-21_15_knee04_left  |  Range: [1.0, 0.0]
UI İsmi: Knee Cap Width R  |  Kod ID: zzz2018-10-12-09-59-34_15_knee04_right  |  Range: [1.0, 0.0]
UI İsmi: Knee Caps Flexed  |  Kod ID: zzz2018-09-18-11-40-57_12_knee01  |  Range: [1.0, 0.0]
UI İsmi: Knee Caps Width  |  Kod ID: zzz2018-10-12-09-31-30_15_knee04  |  Range: [1.0, 0.0]
UI İsmi: Knee Flex Side Smooth  |  Kod ID: zzz2018-10-12-08-43-06_14_knee03  |  Range: [1.0, 0.0]
UI İsmi: Knee Flex Side Smooth L  |  Kod ID: zzz2018-10-12-08-45-49_14_knee03_left  |  Range: [1.0, 0.0]
UI İsmi: Knee Flex Side Smooth R  |  Kod ID: zzz2018-10-12-08-54-17_14_knee03_right  |  Range: [1.0, 0.0]
UI İsmi: Knee Pit Flexed L  |  Kod ID: zzz2018-09-17-20-26-18_back of the knee_left  |  Range: [1.0, 0.0]
UI İsmi: Knee Pit Flexed R  |  Kod ID: zzz2018-09-17-20-27-04_back of the knee_right  |  Range: [1.0, 0.0]
UI İsmi: Knee Pits Flexed  |  Kod ID: zzz2018-09-17-20-25-01_back of the knee  |  Range: [1.0, 0.0]
UI İsmi: Kneeling Fold  |  Kod ID: zzz2018-09-18-12-08-54_13_knee02  |  Range: [1.0, 0.0]
UI İsmi: Kneeling Fold L  |  Kod ID: zzz2018-09-18-12-09-26_13_knee02_left  |  Range: [1.0, 0.0]
UI İsmi: Kneeling Fold R  |  Kod ID: zzz2018-09-18-12-11-21_13_knee02_right  |  Range: [1.0, 0.0]
UI İsmi: Leg Extended L  |  Kod ID: zzz2018-09-17-20-44-29_hip_left  |  Range: [1.0, 0.0]
UI İsmi: Leg Extended R  |  Kod ID: zzz2018-09-17-20-45-46_hip_right  |  Range: [1.0, 0.0]
UI İsmi: Legs Extended  |  Kod ID: zzz2018-09-17-20-43-50_hip  |  Range: [1.0, 0.0]
UI İsmi: Resume to CC3 Shape  |  Kod ID: 2020-03-30-15-33-59_cc3 base neutral  |  Range: [1.0, 0.0]
UI İsmi: T Pose Shoulder Line  |  Kod ID: 2020-05-15-13-55-09_t pose shoulder line  |  Range: [1.0, 0.0]
UI İsmi: Toes Turned Up  |  Kod ID: zzz2018-09-17-20-50-32_toes  |  Range: [1.0, 0.0]
UI İsmi: Toes Turned Up L  |  Kod ID: zzz2018-09-17-20-51-06_toes_left  |  Range: [1.0, 0.0]
UI İsmi: Toes Turned Up R  |  Kod ID: zzz2018-09-17-20-51-37_toes_right  |  Range: [1.0, 0.0]
UI İsmi: Toon Neutral Female  |  Kod ID: 2023-12-19-14-03-24_toon neutral female_body  |  Range: [1.0, 0.0]
UI İsmi: Toon Neutral Male  |  Kod ID: 2023-12-19-12-33-40_toon neutral male_body  |  Range: [1.0, 0.0]
UI İsmi: Wrist Extended L  |  Kod ID: zzz2018-09-17-20-54-33_wrist_left  |  Range: [1.0, 0.0]
UI İsmi: Wrist Extended R  |  Kod ID: zzz2018-09-17-20-55-07_wrist_right  |  Range: [1.0, 0.0]
UI İsmi: Wrist Flexed L  |  Kod ID: zzz2018-09-17-20-47-22_palm_left  |  Range: [1.0, 0.0]
UI İsmi: Wrist Flexed R  |  Kod ID: zzz2018-09-17-20-48-00_palm_right  |  Range: [1.0, 0.0]
UI İsmi: Wrists Extended  |  Kod ID: zzz2018-09-17-20-53-58_wrist  |  Range: [1.0, 0.0]
UI İsmi: Wrists Flexed  |  Kod ID: zzz2018-09-17-20-46-25_palm  |  Range: [1.0, 0.0]

========== KATEGORİ: Actor/Body/Leg ==========
UI İsmi: Leg Length  |  Kod ID: cc embed morphs/embed_leg1  |  Range: [1.0, -1.0]
UI İsmi: Thigh Length  |  Kod ID: cc embed morphs/embed_leg4  |  Range: [1.0, -1.0]
UI İsmi: Thigh Scale  |  Kod ID: cc embed morphs/embed_leg3  |  Range: [1.0, -1.0]
UI İsmi: Quad Lower Scale  |  Kod ID: 2016-08-26-14-04-18_quad_natural  |  Range: [1.0, 0.0]
UI İsmi: Quad Lower Inner Scale  |  Kod ID: 2018-07-20-11-28-28_thigh lower inner adjust  |  Range: [1.0, -1.0]
UI İsmi: Hamstring Scale  |  Kod ID: 2016-08-25-13-30-33_hamstring correction  |  Range: [1.0, 0.0]
UI İsmi: Knee Bone Width  |  Kod ID: 2018-10-11-15-08-41_knee cap width  |  Range: [1.0, 0.0]
UI İsmi: Knee Tone  |  Kod ID: cc embed morphs/embed_leg7  |  Range: [1.0, -0.30000001192092896]
UI İsmi: Lower Leg Length  |  Kod ID: cc embed morphs/embed_leg5  |  Range: [1.0, -1.0]
UI İsmi: Lower Leg Scale  |  Kod ID: cc embed morphs/embed_leg2  |  Range: [1.0, -1.0]
UI İsmi: Calf Scale B  |  Kod ID: 2016-08-26-14-05-05_calf_natural  |  Range: [1.0, 0.0]
UI İsmi: Ankle Tone  |  Kod ID: cc embed morphs/embed_leg6  |  Range: [1.0, -0.30000001192092896]

========== KATEGORİ: Actor/Body/Leg/Lower Leg ==========
UI İsmi: Lower Leg Length  |  Kod ID: cc embed morphs/embed_leg5  |  Range: [1.0, -1.0]
UI İsmi: Lower Leg Scale  |  Kod ID: cc embed morphs/embed_leg2  |  Range: [1.0, -1.0]
UI İsmi: Calf Scale B  |  Kod ID: 2016-08-26-14-05-05_calf_natural  |  Range: [1.0, 0.0]
UI İsmi: Ankle Tone  |  Kod ID: cc embed morphs/embed_leg6  |  Range: [1.0, -0.30000001192092896]

========== KATEGORİ: Actor/Body/Leg/General ==========
UI İsmi: Leg Length  |  Kod ID: cc embed morphs/embed_leg1  |  Range: [1.0, -1.0]

========== KATEGORİ: Actor/Body/Leg/Thigh ==========
UI İsmi: Thigh Length  |  Kod ID: cc embed morphs/embed_leg4  |  Range: [1.0, -1.0]
UI İsmi: Thigh Scale  |  Kod ID: cc embed morphs/embed_leg3  |  Range: [1.0, -1.0]
UI İsmi: Quad Lower Scale  |  Kod ID: 2016-08-26-14-04-18_quad_natural  |  Range: [1.0, 0.0]
UI İsmi: Quad Lower Inner Scale  |  Kod ID: 2018-07-20-11-28-28_thigh lower inner adjust  |  Range: [1.0, -1.0]
UI İsmi: Hamstring Scale  |  Kod ID: 2016-08-25-13-30-33_hamstring correction  |  Range: [1.0, 0.0]
UI İsmi: Knee Bone Width  |  Kod ID: 2018-10-11-15-08-41_knee cap width  |  Range: [1.0, 0.0]
UI İsmi: Knee Tone  |  Kod ID: cc embed morphs/embed_leg7  |  Range: [1.0, -0.30000001192092896]

========== KATEGORİ: Actor/Body/Full Body ==========
UI İsmi: CC3+_Neutral Female  |  Kod ID: 2019-11-11-15-31-00_cc3_dh_female_body  |  Range: [1.0, 0.0]
UI İsmi: CC3+_Katherine_Body  |  Kod ID: 2020-05-12-16-02-50_cc3plus_female_body  |  Range: [1.0, 0.0]
UI İsmi: CC3+_Jody_Body  |  Kod ID: 2019-11-07-11-38-25_digital female_body  |  Range: [1.0, 0.0]
UI İsmi: CC3_Base Female  |  Kod ID: 2018-09-25-19-20-00_cc3_base female body  |  Range: [1.0, 0.0]
UI İsmi: CC1_Base Female  |  Kod ID: cc embed morphs/embed_full_body2  |  Range: [1.0, 0.0]
UI İsmi: CC3+_Neutral Male  |  Kod ID: 2019-11-11-15-43-33_cc3_dh_male_body  |  Range: [1.0, 0.0]
UI İsmi: CC3+_Caleb_Body  |  Kod ID: 2020-05-12-16-05-00_cc3plus_male_body  |  Range: [1.0, 0.0]
UI İsmi: CC3+_Kevin_Body  |  Kod ID: 2019-11-14-16-25-13_digital male_body  |  Range: [1.0, 0.0]
UI İsmi: CC3_Base Male  |  Kod ID: 2018-09-25-19-50-35_cc3_base male body  |  Range: [1.0, 0.0]
UI İsmi: CC1_Base Male  |  Kod ID: cc embed morphs/embed_full_body4  |  Range: [1.0, 0.0]
UI İsmi: Slacker  |  Kod ID: 2018-09-19-18-42-53_slacker  |  Range: [1.0, 0.0]
UI İsmi: Body Thin  |  Kod ID: cc embed morphs/embed_full_body5  |  Range: [1.0, 0.0]
UI İsmi: Body Fat B  |  Kod ID: cc embed morphs/embed_full_body3  |  Range: [1.0, 0.0]
UI İsmi: Body Muscular A  |  Kod ID: cc embed morphs/embed_full_body6  |  Range: [1.0, 0.0]
UI İsmi: Body Bodybuilder  |  Kod ID: cc embed morphs/embed_full_body1  |  Range: [1.0, 0.0]
UI İsmi: Character Scale A  |  Kod ID: 2018-09-14-22-07-28_character scale  |  Range: [1.0, -1.0]
UI İsmi: Alika_Body  |  Kod ID: 2022-05-06-11-12-33_alika_body  |  Range: [1.0, 0.0]
UI İsmi: CC4 Camila_Body  |  Kod ID: 2022-05-04-11-07-45_cc4 camila_body  |  Range: [1.0, 0.0]
UI İsmi: CC4 Kevin_Body  |  Kod ID: 2022-05-09-17-57-44_cc4 kevin_body  |  Range: [1.0, 0.0]
UI İsmi: Eddy_Body  |  Kod ID: 2022-05-06-11-00-23_eddy_body  |  Range: [1.0, 0.0]
UI İsmi: Toon Neutral Female  |  Kod ID: 2023-12-19-14-03-24_toon neutral female_body  |  Range: [1.0, 0.0]
UI İsmi: Toon Neutral Male  |  Kod ID: 2023-12-19-12-33-40_toon neutral male_body  |  Range: [1.0, 0.0]

========== KATEGORİ: Actor/Body/Full Body/General ==========
UI İsmi: Body Thin  |  Kod ID: cc embed morphs/embed_full_body5  |  Range: [1.0, 0.0]
UI İsmi: Body Fat B  |  Kod ID: cc embed morphs/embed_full_body3  |  Range: [1.0, 0.0]
UI İsmi: Body Muscular A  |  Kod ID: cc embed morphs/embed_full_body6  |  Range: [1.0, 0.0]
UI İsmi: Body Bodybuilder  |  Kod ID: cc embed morphs/embed_full_body1  |  Range: [1.0, 0.0]
UI İsmi: Character Scale A  |  Kod ID: 2018-09-14-22-07-28_character scale  |  Range: [1.0, -1.0]

========== KATEGORİ: Actor/Body/Full Body/Character ==========
UI İsmi: CC3+_Neutral Female  |  Kod ID: 2019-11-11-15-31-00_cc3_dh_female_body  |  Range: [1.0, 0.0]
UI İsmi: CC3+_Katherine_Body  |  Kod ID: 2020-05-12-16-02-50_cc3plus_female_body  |  Range: [1.0, 0.0]
